,timestamp,casing_pressure,ANOMALY
0,2025-06-26 00:01:00,192.7655945,0
1,2025-06-26 00:06:00,192.6129456,0
2,2025-06-26 00:07:00,192.7655945,0
3,2025-06-26 00:09:00,192.6129456,0
4,2025-06-26 00:11:00,192.7655945,0
5,2025-06-26 00:12:00,192.6129456,0
6,2025-06-26 00:29:00,192.7655945,0
7,2025-06-26 00:30:00,192.6129456,0
8,2025-06-26 00:40:00,192.7655945,0
9,2025-06-26 00:42:00,192.6129456,0
10,2025-06-26 00:47:00,192.7655945,0
11,2025-06-26 00:48:00,192.6129456,0
12,2025-06-26 00:52:00,192.7655945,0
13,2025-06-26 00:53:00,192.6129456,0
14,2025-06-26 00:55:00,192.9182129,0
15,2025-06-26 00:58:00,192.6129456,0
16,2025-06-26 01:00:00,192.7655945,0
17,2025-06-26 01:03:00,192.9182129,0
18,2025-06-26 01:07:00,192.6129456,0
19,2025-06-26 01:08:00,192.9182129,0
20,2025-06-26 01:10:00,192.7655945,0
21,2025-06-26 01:16:00,192.9182129,0
22,2025-06-26 01:18:00,192.6129456,0
23,2025-06-26 01:20:00,192.7655945,0
24,2025-06-26 01:28:00,192.6129456,0
25,2025-06-26 01:54:00,192.7655945,0
26,2025-06-26 01:56:00,192.6129456,0
27,2025-06-26 02:19:00,192.7655945,0
28,2025-06-26 02:21:00,192.6129456,0
29,2025-06-26 02:32:00,192.7655945,0
30,2025-06-26 02:35:00,192.6129456,0
31,2025-06-26 02:37:00,192.7655945,0
32,2025-06-26 02:50:00,192.6129456,0
33,2025-06-26 02:52:00,192.9182129,0
34,2025-06-26 02:53:00,192.7655945,0
35,2025-06-26 02:55:00,192.9182129,0
36,2025-06-26 03:02:00,192.6129456,0
37,2025-06-26 03:10:00,192.7655945,0
38,2025-06-26 03:12:00,192.6129456,0
39,2025-06-26 03:13:00,192.7655945,0
40,2025-06-26 03:15:00,192.6129456,0
41,2025-06-26 03:21:00,192.4603271,0
