t_stamp,Well Pads/Fox Creek 25SE/12-63 25-2-1/Heater Treater/Gas Meter/Today Flow,ANOMALY,
5/22/25 0:00,280.5820313,0,
5/22/25 0:01,280.5820313,0,
5/22/25 0:02,280.5820313,0,
5/22/25 0:03,280.5820313,0,
5/22/25 0:04,280.5820313,0,
5/22/25 0:05,280.5820313,0,
5/22/25 0:06,280.5820313,0,
5/22/25 0:07,280.5820313,0,
5/22/25 0:08,280.5820313,0,
5/22/25 0:09,280.5820313,0,
5/22/25 0:10,280.5820313,0,
5/22/25 0:11,280.5820313,0,
5/22/25 0:12,280.5820313,0,
5/22/25 0:13,280.5820313,0,
5/22/25 0:14,280.5820313,0,
5/22/25 0:15,280.5820313,0,
5/22/25 0:16,280.5820313,0,
5/22/25 0:17,280.5820313,0,
5/22/25 0:18,280.5820313,0,
5/22/25 0:19,280.5820313,0,
5/22/25 0:20,280.5820313,0,
5/22/25 0:21,280.5820313,0,
5/22/25 0:22,280.5820313,0,
5/22/25 0:23,280.5820313,0,
5/22/25 0:24,280.5820313,0,
5/22/25 0:25,280.5820313,0,
5/22/25 0:26,280.5820313,0,
5/22/25 0:27,280.5820313,0,
5/22/25 0:28,280.5820313,0,
5/22/25 0:29,280.5820313,0,
5/22/25 0:30,280.5820313,0,
5/22/25 0:31,280.5820313,0,
5/22/25 0:32,280.5820313,0,
5/22/25 0:33,280.5820313,0,
5/22/25 0:34,280.5820313,0,
5/22/25 0:35,280.5820313,0,
5/22/25 0:36,280.5820313,0,
5/22/25 0:37,280.5820313,0,
5/22/25 0:38,280.5820313,0,
5/22/25 0:39,280.5820313,0,
5/22/25 0:40,280.5820313,0,
5/22/25 0:41,280.5820313,0,
5/22/25 0:42,280.5820313,0,
5/22/25 0:43,280.5820313,0,
5/22/25 0:44,280.5820313,0,
5/22/25 0:45,280.5820313,0,
5/22/25 0:46,280.5820313,0,
5/22/25 0:47,280.5820313,0,
5/22/25 0:48,280.5820313,0,
5/22/25 0:49,280.5820313,0,
5/22/25 0:50,280.5820313,0,
5/22/25 0:51,280.5820313,0,
5/22/25 0:52,280.5820313,0,
5/22/25 0:53,280.5820313,0,
5/22/25 0:54,280.5820313,0,
5/22/25 0:55,280.5820313,0,
5/22/25 0:56,280.5820313,0,
5/22/25 0:57,280.5820313,0,
5/22/25 0:58,280.5820313,0,
5/22/25 0:59,280.5820313,0,
5/22/25 1:00,280.5820313,0,
5/22/25 1:01,280.5820313,0,
5/22/25 1:02,280.5820313,0,
5/22/25 1:03,280.5820313,0,
5/22/25 1:04,280.5820313,0,
5/22/25 1:05,280.5820313,0,
5/22/25 1:06,280.5820313,0,
5/22/25 1:07,280.5820313,0,
5/22/25 1:08,280.5820313,0,
5/22/25 1:09,280.5820313,0,
5/22/25 1:10,280.5820313,0,
5/22/25 1:11,280.5820313,0,
5/22/25 1:12,280.5820313,0,
5/22/25 1:13,280.5820313,0,
5/22/25 1:14,280.5820313,0,
5/22/25 1:15,280.5820313,0,
5/22/25 1:16,280.5820313,0,
5/22/25 1:17,280.5820313,0,
5/22/25 1:18,280.5820313,0,
5/22/25 1:19,280.5820313,0,
5/22/25 1:20,280.5820313,0,
5/22/25 1:21,280.5820313,0,
5/22/25 1:22,280.5820313,0,
5/22/25 1:23,280.5820313,0,
5/22/25 1:24,280.5820313,0,
5/22/25 1:25,280.5820313,0,
5/22/25 1:26,280.5820313,0,
5/22/25 1:27,280.5820313,0,
